freq,purchase,unit,geo\TIME_PERIOD	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DW_EXST,I10_A_AVG,PT	: 	: 	: 	100.41 	99.20 	100.00 	93.38 	86.07 	84.16 	87.81 	91.28 	99.20 	109.52 	121.59 	134.04 	146.22 	160.32 	182.59 	198.49 
A,DW_EXST,I10_A_AVG,RO	: 	: 	: 	: 	108.33 	100.00 	86.22 	80.62 	80.78 	79.04 	81.73 	86.63 	92.95 	98.46 	102.18 	107.23 	112.60 	118.38 	119.06 
A,DW_EXST,I10_A_AVG,SE	68.42 	78.38 	89.14 	89.54 	91.74 	100.00 	101.87 	102.77 	109.37 	121.00 	139.06 	150.93 	161.00 	156.26 	159.34 	168.48 	189.16 	192.69 	179.74 
A,DW_EXST,I10_A_AVG,SI	: 	: 	101.22 	106.05 	97.96 	100.00 	100.67 	95.05 	90.03 	83.80 	84.27 	87.44 	94.29 	102.66 	110.86 	116.16 	129.56 	149.59 	160.48 
A,DW_EXST,I10_A_AVG,SK	: 	: 	: 	: 	: 	100.00 	99.03 	97.48 	98.73 	100.04 	106.45 	113.85 	120.05 	129.82 	144.07 	159.29 	171.18 	191.91 	192.68 
A,DW_EXST,I10_A_AVG,TR	: 	: 	: 	: 	: 	100.00 	108.60 	120.32 	134.08 	150.89 	175.00 	197.17 	218.90 	236.58 	246.36 	304.25 	412.75 	1046.23 	2066.46 
A,DW_EXST,I10_A_AVG,UK	91.04 	98.34 	108.30 	103.33 	94.26 	100.00 	98.26 	98.70 	101.20 	109.32 	115.88 	123.77 	129.36 	133.40 	134.75 	: 	: 	: 	: 
A,DW_EXST,I15_A_AVG,AT	: 	: 	: 	: 	: 	77.75 	81.97 	86.81 	91.14 	94.53 	100.00 	105.95 	112.33 	119.40 	126.58 	136.29 	154.13 	172.03 	165.02 
A,DW_EXST,I15_A_AVG,BE	70.28 	78.44 	85.43 	89.69 	89.57 	92.24 	95.47 	97.83 	98.78 	98.81 	100.00 	102.12 	105.58 	108.80 	113.11 	117.91 	125.93 	132.93 	136.08 
A,DW_EXST,I15_A_AVG,BG	82.95 	95.15 	122.66 	153.27 	120.53 	108.35 	101.78 	99.08 	97.30 	97.76 	100.00 b	107.34 	117.77 	126.07 	132.11 	140.01 	152.94 	176.79 b	195.51 
A,DW_EXST,I15_A_AVG,CY	: 	: 	: 	: 	: 	108.78 	110.53 	105.57 	100.95 	101.63 	100.00 b	99.35 	100.78 	101.08 	102.12 	102.23 	102.81 	104.73 	107.34 
A,DW_EXST,I15_A_AVG,CZ	: 	: 	: 	101.30 	96.40 	94.90 	95.20 	93.90 	93.90 	96.20 	100.00 	107.30 	119.60 	129.30 	141.30 	153.00 	183.60 	214.00 	210.40 
A,DW_EXST,I15_A_AVG,DE	84.90 	84.60 	82.20 	83.20 	83.20 	83.90 	86.70 	89.70 	92.80 	95.60 	100.00 	107.60 	114.50 	122.20 	129.80 	140.20 	157.50 	165.40 	149.70 
A,DW_EXST,I15_A_AVG,DK	83.93 	104.09 	106.52 	101.14 	88.82 	91.43 	89.68 	87.11 	90.19 	93.54 	100.00 	104.61 	109.83 	114.78 	117.33 	122.46 	136.85 	143.37 	137.21 
A,DW_EXST,I15_A_AVG,EA	: 	: 	: 	: 	: 	100.79 	102.16 	100.44 	98.31 	98.55 	100.00 	104.09 	108.85 	114.15 	119.15 	125.43 	135.81 	145.12 	141.99 
A,DW_EXST,I15_A_AVG,EA19	: 	: 	: 	: 	: 	100.64 	102.04 	100.33 	98.27 	98.55 	100.00 	104.09 	108.85 	114.15 	119.15 	125.43 	135.81 	145.12 	141.90 
A,DW_EXST,I15_A_AVG,EA20	: 	: 	: 	: 	: 	100.69 	102.08 	100.37 	98.28 	98.56 	100.00 	104.07 	108.83 	114.14 	119.18 	125.50 	135.88 	145.28 	142.23 
A,DW_EXST,I15_A_AVG,EE	66.37 	105.06 	119.07 	106.16 	65.09 	67.25 	72.94 	77.13 	85.89 	95.32 	100.00 	104.35 	110.55 	115.03 	122.76 	127.02 	148.79 	186.63 	189.66 
A,DW_EXST,I15_A_AVG,ES	: 	154.28 	166.86 	156.46 	142.38 	140.68 	127.39 	108.48 	96.65 	96.74 	100.00 	104.32 	110.82 	118.34 	124.00 	125.79 	130.32 	139.80 	144.35 
A,DW_EXST,I15_A_AVG,EU	: 	: 	: 	: 	: 	97.66 	97.93 	96.40 	95.41 	97.20 	100.00 	104.87 	110.07 	115.31 	120.29 	127.00 	138.20 	148.48 	146.14 
A,DW_EXST,I15_A_AVG,EU27_2020	: 	: 	: 	: 	: 	99.99 	100.66 	98.71 	97.05 	97.78 	100.00 	104.50 	109.77 	115.31 	120.94 	127.85 	139.13 	149.47 	147.12 
A,DW_EXST,I15_A_AVG,EU28	: 	: 	: 	: 	: 	97.67 	97.94 	96.41 	95.41 	97.20 	100.00 	104.87 	110.07 	115.31 	120.29 	: 	: 	: 	: 
A,DW_EXST,I15_A_AVG,FI	: c	: c	: c	: c	89.29 	96.94 	99.50 	100.68 	101.40 	100.45 	100.00 b	101.10 	101.76 	102.45 	102.59 	103.99 	108.50 	109.05 	101.59 
A,DW_EXST,I15_A_AVG,FR	85.54 	95.84 	102.15 	103.00 	95.68 	100.59 	106.57 	105.99 	103.76 	101.88 	100.00 	100.93 	103.98 	107.10 	110.60 	116.76 	124.46 	132.42 	131.52 
A,DW_EXST,I15_A_AVG,HR	: 	: 	: 	125.90 	117.31 	111.17 	110.08 	107.29 	102.74 	101.43 	100.00 	101.81 	106.45 	113.44 	123.73 	134.29 	143.93 	164.80 	185.23 
A,DW_EXST,I15_A_AVG,HU	: 	: 	99.17 	101.52 	95.84 	94.01 	90.79 	87.17 	84.74 	88.28 	100.00 	113.54 	127.02 	145.30 	170.60 	177.29 	205.76 	251.97 	266.89 p
A,DW_EXST,I15_A_AVG,IE	: 	: 	: 	: 	: 	104.57 	86.59 	74.85 	76.80 	90.16 	100.00 	107.45 	120.22 	132.40 	134.78 	134.40 	147.66 	167.58 	169.55 
A,DW_EXST,I15_A_AVG,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109.77 d	131.20 d	142.01 d	148.29 d	157.79 d	177.57 d	214.84 d	231.57 d
A,DW_EXST,I15_A_AVG,IT	: 	: 	: 	: 	: 	126.80 	127.30 	121.40 	110.90 	104.70 	100.00 	100.10 	98.90 	98.00 	97.60 	99.40 	101.60 	105.10 	105.50 
A,DW_EXST,I15_A_AVG,LT	: 	92.12 	123.19 	129.65 	89.09 	85.23 	90.28 	88.64 	90.57 	96.76 	100.00 	106.47 	115.58 	123.78 	132.50 	142.72 	167.17 	197.74 	211.26 
A,DW_EXST,I15_A_AVG,LU	: 	: 	78.45 	79.62 	76.77 	81.30 	85.21 	88.57 	91.51 	96.20 	100.00 	106.21 	112.26 	120.98 	134.12 	153.82 	176.81 	192.44 	171.11 
A,DW_EXST,I15_A_AVG,LV	: 	110.32 	152.21 	153.09 	96.43 	84.59 	89.69 	90.34 	97.06 	102.20 	100.00 	108.51 	118.17 	130.24 	141.83 	145.40 	165.80 	189.30 	190.76 
A,DW_EXST,I15_A_AVG,MT	: 	: 	: 	95.71 	89.06 	85.89 	86.01 	89.04 	92.51 	95.27 	100.00 	106.78 	112.58 	117.58 	123.51 	131.58 	134.44 	142.36 	152.02 p
A,DW_EXST,I15_A_AVG,NL	106.44 	111.29 	115.97 	119.45 	115.39 	112.77 	110.03 	102.95 	96.16 	97.05 	100.00 	105.51 	114.06 	124.57 	133.34 	143.85 	165.50 	187.52 	182.18 
A,DW_EXST,I15_A_AVG,NO	: 	: 	: 	: 	: 	75.63 	81.70 	87.36 	90.97 	93.41 	100.00 	108.25 	114.35 	115.64 	118.77 	124.17 	136.71 	143.97 	144.03 
A,DW_EXST,I15_A_AVG,PL	: 	: 	: 	: 	: 	107.74 	107.30 	101.86 	98.07 	99.35 	100.00 	102.55 	107.13 	115.17 	127.16 	144.68 	158.10 	176.72 	189.59 
A,DW_EXST,I15_A_AVG,PT	: 	: 	: 	110.00 	108.68 	109.55 	102.30 	94.29 	92.20 	96.19 	100.00 	108.68 	119.98 	133.20 	146.85 	160.18 	175.63 	200.03 	217.44 
A,DW_EXST,I15_A_AVG,RO	: 	: 	: 	: 	132.56 	122.36 	105.49 	98.65 	98.85 	96.72 	100.00 	106.00 	113.73 	120.48 	125.03 	131.20 	137.78 	144.85 	145.68 
