freq,purchase,unit,geo\TIME_PERIOD	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DW_NEW,I10_A_AVG,EA19	: 	: 	: 	: 	: 	100.00 	100.39 	97.16 	95.82 	96.28 	98.66 	102.38 	106.04 	110.97 	115.77 	121.67 	129.20 	139.15 	143.70 
A,DW_NEW,I10_A_AVG,EA20	: 	: 	: 	: 	: 	100.00 	100.40 	97.21 	95.84 	96.27 	98.56 	102.22 	105.86 	110.78 	115.58 	121.46 	128.98 	138.99 	143.58 
A,DW_NEW,I10_A_AVG,EE	83.38 	111.53 	150.78 	138.98 	91.09 	100.00 	109.44 	121.75 	132.75 	159.59 	177.33 	186.78 	196.44 	213.58 	229.15 	251.05 	282.93 	333.12 	372.57 
A,DW_NEW,I10_A_AVG,ES	: 	91.51 	102.40 	106.69 	102.27 	100.00 	94.08 	80.56 	76.21 	76.88 	80.52 	85.71 	90.93 	96.66 	103.94 	110.68 	115.70 	124.72 	134.74 
A,DW_NEW,I10_A_AVG,EU	: 	: 	: 	: 	: 	100.00 	100.50 	97.90 	96.42 	97.45 	99.96 	103.80 	107.73 	113.10 	118.11 	123.80 	132.14 	144.27 	151.40 
A,DW_NEW,I10_A_AVG,EU27_2020	: 	: 	: 	: 	: 	100.00 	100.46 	97.75 	95.96 	96.51 	98.84 	102.31 	106.11 	111.44 	116.74 	122.67 	130.93 	142.95 	150.01 
A,DW_NEW,I10_A_AVG,EU28	: 	: 	: 	: 	: 	100.00 	100.52 	97.94 	96.43 	97.46 	99.97 	103.81 	107.74 	113.10 	118.12 	: 	: 	: 	: 
A,DW_NEW,I10_A_AVG,FI	: c	: c	: c	: c	98.39 	100.00 	104.21 	109.31 	111.64 	112.79 	114.00 b	116.72 	121.07 	123.80 	126.00 	130.60 	137.90 	143.95 	143.20 
A,DW_NEW,I10_A_AVG,FR	83.54 	90.87 	95.77 	97.19 	97.38 	100.00 	104.86 	104.27 	103.87 	104.01 	105.77 	107.58 	111.83 	114.64 	118.78 	122.38 	128.02 	135.45 	137.37 
A,DW_NEW,I10_A_AVG,HR	: 	: 	: 	110.84 	108.51 	100.00 	101.77 	101.50 	98.00 	95.92 	90.02 	86.96 	86.89 	89.98 	97.48 	98.69 	107.45 	126.25 	137.59 
A,DW_NEW,I10_A_AVG,HU	: 	: 	106.50 	108.87 	105.46 	100.00 	96.76 	96.66 	97.72 	101.85 	110.58 	121.75 	144.58 	164.39 	182.15 	204.63 	244.52 	297.07 	342.25 p
A,DW_NEW,I10_A_AVG,IE	: 	: 	: 	: 	: 	100.00 	83.46 	72.86 	67.40 	74.04 	85.41 	91.93 	96.95 	106.55 	110.86 	113.21 	116.97 	126.74 	139.92 
A,DW_NEW,I10_A_AVG,IT	: 	: 	: 	: 	: 	100.00 	103.20 	105.50 	104.10 	101.30 	99.30 	100.00 	99.30 	100.40 	101.60 	103.70 	107.70 	114.20 	120.60 
A,DW_NEW,I10_A_AVG,LT	: 	116.84 	132.17 	153.54 	111.43 	100.00 	110.15 	119.27 	117.22 	123.16 	129.59 	132.43 	145.53 	156.83 	166.95 	177.51 	203.39 	245.57 	283.55 
A,DW_NEW,I10_A_AVG,LU	: 	: 	87.80 	93.32 	95.65 	100.00 	101.51 	106.05 	114.18 	117.17 	126.76 	133.87 	141.19 	149.14 	161.86 	185.29 	207.30 	230.68 	222.67 
A,DW_NEW,I10_A_AVG,LV	: 	131.48 	170.48 	175.30 	107.63 	100.00 	133.58 	154.72 	160.94 	174.82 	161.41 	173.52 	188.07 	199.61 	217.12 	233.78 	236.96 	267.63 	308.48 
A,DW_NEW,I10_A_AVG,MT	: 	: 	: 	101.67 	97.86 	100.00 	97.97 	100.82 	98.72 	100.69 	106.85 	112.17 	118.05 	125.40 	133.53 	136.77 	144.99 	154.94 	164.21 p
A,DW_NEW,I10_A_AVG,NL	98.90 	102.11 	109.27 	108.41 	99.24 	100.00 	99.97 	91.97 	88.94 	88.97 	94.80 	98.61 	106.43 	117.03 	126.79 	137.93 	153.17 	172.93 	179.36 
A,DW_NEW,I10_A_AVG,NO	: 	: 	: 	: 	: 	100.00 	108.56 	115.91 	121.45 	124.34 	131.54 	140.85 	148.27 	151.53 	161.06 	169.91 	181.97 	194.61 	203.58 
A,DW_NEW,I10_A_AVG,PL	: 	: 	: 	: 	: 	100.00 	101.08 	100.65 	95.72 	96.22 	98.73 	99.80 	102.99 	108.63 	115.89 	123.10 	134.30 	150.16 	165.88 
A,DW_NEW,I10_A_AVG,PT	: 	: 	: 	99.78 	99.30 	100.00 	97.06 	90.96 	89.78 	93.48 	95.07 	98.24 	103.74 	111.52 	121.30 	130.43 	141.80 	154.07 	164.26 
A,DW_NEW,I10_A_AVG,RO	: 	: 	: 	: 	107.26 	100.00 	96.59 	98.27 	93.51 	92.53 	91.04 	95.95 	96.21 	100.06 	101.89 	105.93 	107.65 	119.85 	130.29 
A,DW_NEW,I10_A_AVG,SE	78.59 	81.41 	86.98 	90.58 	96.25 	100.00 	105.64 	108.03 	106.87 	110.05 	112.53 	119.50 	126.91 	139.21 	145.77 	143.54 	144.96 	166.08 	171.23 
A,DW_NEW,I10_A_AVG,SI	: 	: 	105.25 	116.98 	102.62 	100.00 	105.24 	95.23 	90.52 	85.29 	86.86 	87.15 	96.36 	104.31 	104.41 	108.50 	122.04 	131.21 	139.82 
A,DW_NEW,I10_A_AVG,SK	: 	: 	: 	: 	: 	100.00 	97.42 	92.12 	91.88 	93.16 	95.85 	101.49 	108.24 	114.73 	121.55 	131.09 	137.51 	159.82 	155.91 
A,DW_NEW,I10_A_AVG,TR	: 	: 	: 	: 	: 	100.00 	108.86 	120.93 	135.09 	149.24 	170.90 	191.04 	211.49 	230.48 	245.83 	310.14 	439.90 	1103.93 	2220.97 
A,DW_NEW,I10_A_AVG,UK	97.32 	103.51 	111.55 	107.95 	97.22 	100.00 	101.51 	101.09 	104.05 	112.43 	118.15 	129.19 	135.79 	141.55 	142.69 	: 	: 	: 	: 
A,DW_NEW,I15_A_AVG,AT	: 	: 	: 	: 	: 	76.16 	80.13 	86.79 	90.98 	94.72 	100.00 	107.85 	110.47 	115.98 	122.90 	132.08 	143.12 	159.58 	159.13 
A,DW_NEW,I15_A_AVG,BE	80.13 	84.04 	87.80 	89.98 	89.01 	88.99 	92.49 	94.21 	97.74 	95.67 	100.00 	103.49 	107.91 	111.35 	114.79 	119.88 	127.41 	134.14 	136.92 
A,DW_NEW,I15_A_AVG,BG	67.21 e	77.09 e	99.39 e	124.19 e	109.57 e	97.86 	96.85 	96.58 	93.94 	96.62 	100.00 	106.41 	113.54 	120.04 	130.19 	133.00 	143.27 	158.81 b	172.52 
A,DW_NEW,I15_A_AVG,CY	: 	: 	: 	: 	: 	114.06 	111.04 	108.37 	104.04 	101.42 	100.00 b	100.63 	103.06 	105.59 	110.50 	110.07 	105.28 	108.45 	111.77 
A,DW_NEW,I15_A_AVG,CZ	: 	: 	: 	97.00 	100.20 	97.20 	95.80 	93.60 	93.70 	95.40 	100.00 	105.90 	120.60 	134.90 	145.50 	158.70 	188.00 	222.30 	219.20 
A,DW_NEW,I15_A_AVG,DE	74.60 	73.90 	75.40 	77.40 	81.60 	83.60 	87.80 	90.30 	91.40 	94.80 	100.00 	106.90 	111.80 	118.90 	122.90 	130.40 	140.00 	147.00 	143.50 
A,DW_NEW,I15_A_AVG,DK	31.69 	41.73 	47.50 	44.41 	41.03 	40.48 	45.58 	50.62 	80.16 	89.54 	100.00 	99.37 	100.00 	101.79 	102.52 	103.28 	107.49 	118.59 	123.77 
A,DW_NEW,I15_A_AVG,EA	: 	: 	: 	: 	: 	101.63 	101.92 	98.57 	97.19 	97.59 	100.00 	103.77 	107.48 	112.48 	117.34 	123.32 	130.95 	141.03 	145.67 
A,DW_NEW,I15_A_AVG,EA19	: 	: 	: 	: 	: 	101.36 	101.74 	98.48 	97.11 	97.58 	100.00 	103.77 	107.48 	112.48 	117.34 	123.32 	130.95 	141.03 	145.64 
A,DW_NEW,I15_A_AVG,EA20	: 	: 	: 	: 	: 	101.46 	101.86 	98.63 	97.24 	97.67 	100.00 	103.72 	107.41 	112.40 	117.27 	123.23 	130.87 	141.02 	145.68 
A,DW_NEW,I15_A_AVG,EE	47.02 	62.89 	85.03 	78.37 	51.37 	56.39 	61.71 	68.65 	74.86 	90.00 	100.00 	105.33 	110.78 	120.45 	129.22 	141.57 	159.55 	187.85 	210.10 
A,DW_NEW,I15_A_AVG,ES	: 	113.65 	127.18 	132.51 	127.03 	124.20 	116.84 	100.05 	94.66 	95.48 	100.00 	106.45 	112.93 	120.05 	129.10 	137.47 	143.71 	154.90 	167.35 
A,DW_NEW,I15_A_AVG,EU	: 	: 	: 	: 	: 	100.04 	100.54 	97.93 	96.46 	97.49 	100.00 	103.84 	107.77 	113.14 	118.15 	123.85 	132.19 	144.32 	151.45 
A,DW_NEW,I15_A_AVG,EU27_2020	: 	: 	: 	: 	: 	101.18 	101.64 	98.90 	97.09 	97.65 	100.00 	103.52 	107.36 	112.75 	118.11 	124.12 	132.48 	144.63 	151.78 
A,DW_NEW,I15_A_AVG,EU28	: 	: 	: 	: 	: 	100.03 	100.55 	97.96 	96.46 	97.49 	100.00 	103.84 	107.77 	113.14 	118.15 	: 	: 	: 	: 
A,DW_NEW,I15_A_AVG,FI	: c	: c	: c	: c	86.31 	87.72 	91.41 	95.88 	97.93 	98.94 	100.00 b	102.38 	106.20 	108.59 	110.52 	114.56 	120.96 	126.27 	125.61 
A,DW_NEW,I15_A_AVG,FR	78.98 	85.92 	90.54 	91.89 	92.07 	94.55 	99.14 	98.58 	98.21 	98.33 	100.00 	101.72 	105.73 	108.39 	112.30 	115.70 	121.03 	128.06 	129.87 
A,DW_NEW,I15_A_AVG,HR	: 	: 	: 	123.13 	120.53 	111.08 	113.05 	112.75 	108.86 	106.55 	100.00 	96.60 	96.52 	99.95 	108.28 	109.63 	119.36 	140.24 	152.84 
A,DW_NEW,I15_A_AVG,HU	: 	: 	96.31 	98.46 	95.38 	90.44 	87.50 	87.42 	88.37 	92.11 	100.00 	110.11 	130.76 	148.67 	164.73 	185.06 	221.13 	268.66 	309.51 p
A,DW_NEW,I15_A_AVG,IE	: 	: 	: 	: 	: 	117.08 	97.71 	85.30 	78.91 	86.69 	100.00 	107.63 	113.51 	124.75 	129.80 	132.55 	136.95 	148.38 	163.82 
A,DW_NEW,I15_A_AVG,IT	: 	: 	: 	: 	: 	100.80 	104.00 	106.30 	104.80 	102.00 	100.00 	100.70 	100.00 	101.10 	102.30 	104.50 	108.50 	115.10 	121.50 
A,DW_NEW,I15_A_AVG,LT	: 	90.16 	101.99 	118.48 	85.98 	77.17 	85.00 	92.04 	90.45 	95.04 	100.00 	102.19 	112.31 	121.02 	128.83 	136.98 	156.95 	189.50 	218.81 
A,DW_NEW,I15_A_AVG,LU	: 	: 	69.26 	73.61 	75.46 	78.89 	80.08 	83.66 	90.07 	92.43 	100.00 	105.61 	111.38 	117.65 	127.69 	146.17 	163.54 	181.98 	175.66 
A,DW_NEW,I15_A_AVG,LV	: 	81.46 	105.62 	108.60 	66.68 	61.96 	82.76 	95.85 	99.71 	108.31 	100.00 	107.50 	116.52 	123.67 	134.51 	144.84 	146.81 	165.81 	191.12 
A,DW_NEW,I15_A_AVG,MT	: 	: 	: 	95.16 	91.59 	93.59 	91.69 	94.36 	92.40 	94.24 	100.00 	104.98 	110.49 	117.37 	124.98 	128.01 	135.70 	145.01 	153.69 p
A,DW_NEW,I15_A_AVG,NL	104.33 	107.71 	115.28 	114.37 	104.69 	105.49 	105.46 	97.02 	93.82 	93.86 	100.00 	104.03 	112.28 	123.46 	133.76 	145.51 	161.57 	182.43 	189.21 
A,DW_NEW,I15_A_AVG,NO	: 	: 	: 	: 	: 	76.02 	82.53 	88.12 	92.32 	94.53 	100.00 	107.07 	112.72 	115.19 	122.44 	129.17 	138.34 	147.94 	154.77 
A,DW_NEW,I15_A_AVG,PL	: 	: 	: 	: 	: 	101.28 	102.38 	101.94 	96.95 	97.46 	100.00 	101.08 	104.31 	110.02 	117.38 	124.68 	136.02 	152.09 	168.01 
A,DW_NEW,I15_A_AVG,PT	: 	: 	: 	104.95 	104.45 	105.19 	102.10 	95.68 	94.43 	98.33 	100.00 	103.33 	109.12 	117.30 	127.59 	137.19 	149.15 	162.06 	172.78 
A,DW_NEW,I15_A_AVG,RO	: 	: 	: 	: 	117.82 	109.85 	106.11 	107.94 	102.71 	101.64 	100.00 	105.39 	105.68 	109.91 	111.92 	116.36 	118.25 	131.65 	143.12 
A,DW_NEW,I15_A_AVG,SE	69.84 	72.35 	77.30 	80.50 	85.54 	88.87 	93.87 	96.00 	94.97 	97.80 	100.00 	106.20 	112.78 	123.71 	129.54 	127.56 	128.82 	147.59 	152.17 
A,DW_NEW,I15_A_AVG,SI	: 	: 	121.18 	134.69 	118.16 	115.14 	121.18 	109.65 	104.22 	98.20 	100.00 	100.34 	110.95 	120.10 	120.22 	124.92 	140.51 	151.07 	160.99 
A,DW_NEW,I15_A_AVG,SK	: 	: 	: 	: 	: 	104.33 	101.64 	96.11 	95.86 	97.19 	100.00 	105.88 	112.92 	119.69 	126.82 	136.77 	143.46 	166.74 	162.67 
A,DW_NEW,I15_A_AVG,TR	: 	: 	: 	: 	: 	58.51 	63.70 	70.76 	79.05 	87.32 	100.00 	111.78 	123.75 	134.86 	143.84 	181.47 	257.40 	645.94 	1299.55 
A,DW_NEW,I15_A_AVG,UK	82.37 	87.61 	94.42 	91.37 	82.29 	84.65 	85.92 	85.56 	88.07 	95.17 	100.00 	109.35 	114.94 	119.81 	120.78 	: 	: 	: 	: 
A,DW_NEW,RCH_A_AVG,AT	: 	: 	: 	: 	: 	: 	5.2 	8.3 	4.8 	4.1 	5.6 	7.9 	2.4 	5.0 	6.0 	7.5 	8.4 	11.5 	-0.3 
A,DW_NEW,RCH_A_AVG,BE	: 	4.9 	4.5 	2.5 	-1.1 	0.0 	3.9 	1.9 	3.7 	-2.1 	4.5 	3.5 	4.3 	3.2 	3.1 	4.4 	6.3 	5.3 	2.1 
A,DW_NEW,RCH_A_AVG,BG	: 	14.7 e	28.9 e	25.0 e	-11.8 e	-10.7 e	-1.0 	-0.3 	-2.7 	2.8 	3.5 	6.4 	6.7 	5.7 	8.5 	2.2 	7.7 	10.8 b	8.6 
A,DW_NEW,RCH_A_AVG,CY	: 	: c	: c	: c	: c	: c	-2.6 	-2.4 	-4.0 	-2.5 	-1.4 b	0.6 	2.4 	2.4 	4.6 	-0.4 	-4.4 	3.0 	3.1 
A,DW_NEW,RCH_A_AVG,CZ	: 	: 	: 	: 	3.3 	-3.0 	-1.5 	-2.2 	0.1 	1.8 	4.8 	5.9 	13.9 	11.8 	7.9 	9.1 	18.4 	18.3 	-1.4 
A,DW_NEW,RCH_A_AVG,DE	: 	-1.0 	2.1 	2.7 	5.4 	2.4 	5.1 	2.8 	1.2 	3.7 	5.5 	6.9 	4.6 	6.4 	3.3 	6.2 	7.4 	5.0 	-2.4 
A,DW_NEW,RCH_A_AVG,DK	: 	31.7 	13.8 	-6.5 	-7.6 	-1.3 	12.6 	11.1 	58.3 	11.7 	11.7 	-0.6 	0.6 	1.8 	0.7 	0.7 	4.1 	10.3 	4.4 
A,DW_NEW,RCH_A_AVG,EA	: 	: 	: 	: 	: 	: 	0.3 	-3.3 	-1.4 	0.4 	2.5 	3.8 	3.6 	4.6 	4.3 	5.1 	6.2 	7.7 	3.3 
A,DW_NEW,RCH_A_AVG,EA19	: 	: 	: 	: 	: 	: 	0.4 	-3.2 	-1.4 	0.5 	2.5 	3.8 	3.6 	4.6 	4.3 	5.1 	6.2 	7.7 	3.3 
A,DW_NEW,RCH_A_AVG,EA20	: 	: 	: 	: 	: 	: 	0.4 	-3.2 	-1.4 	0.4 	2.4 	3.7 	3.6 	4.6 	4.3 	5.1 	6.2 	7.8 	3.3 
A,DW_NEW,RCH_A_AVG,EE	: 	33.8 	35.2 	-7.8 	-34.5 	9.8 	9.4 	11.2 	9.0 	20.2 	11.1 	5.3 	5.2 	8.7 	7.3 	9.6 	12.7 	17.7 	11.8 
A,DW_NEW,RCH_A_AVG,ES	: 	: 	11.9 	4.2 	-4.1 	-2.2 	-5.9 	-14.4 	-5.4 	0.9 	4.7 	6.4 	6.1 	6.3 	7.5 	6.5 	4.5 	7.8 	8.0 
A,DW_NEW,RCH_A_AVG,EU	: 	: 	: 	: 	: 	: 	0.5 	-2.6 	-1.5 	1.1 	2.6 	3.8 	3.8 	5.0 	4.4 	4.8 	6.7 	9.2 	4.9 
A,DW_NEW,RCH_A_AVG,EU27_2020	: 	: 	: 	: 	: 	: 	0.5 	-2.7 	-1.8 	0.6 	2.4 	3.5 	3.7 	5.0 	4.8 	5.1 	6.7 	9.2 	4.9 
A,DW_NEW,RCH_A_AVG,EU28	: 	: 	: 	: 	: 	: 	0.5 	-2.6 	-1.5 	1.1 	2.6 	3.8 	3.8 	5.0 	4.4 	: 	: 	: 	: 
A,DW_NEW,RCH_A_AVG,FI	: 	: c	: c	: c	: c	1.6 	4.2 	4.9 	2.1 	1.0 	1.1 b	2.4 	3.7 	2.2 	1.8 	3.6 	5.6 	4.4 	-0.5 
A,DW_NEW,RCH_A_AVG,FR	: 	8.8 	5.4 	1.5 	0.2 	2.7 	4.9 	-0.6 	-0.4 	0.1 	1.7 	1.7 	3.9 	2.5 	3.6 	3.0 	4.6 	5.8 	1.4 
A,DW_NEW,RCH_A_AVG,HR	: 	: 	: 	: 	-2.1 	-7.8 	1.8 	-0.3 	-3.5 	-2.1 	-6.1 	-3.4 	-0.1 	3.6 	8.3 	1.2 	8.9 	17.5 	9.0 
A,DW_NEW,RCH_A_AVG,HU	: 	: 	: 	2.2 	-3.1 	-5.2 	-3.2 	-0.1 	1.1 	4.2 	8.6 	10.1 	18.8 	13.7 	10.8 	12.3 	19.5 	21.5 	15.2 p
A,DW_NEW,RCH_A_AVG,IE	: 	: 	: 	: 	: 	: 	-16.5 	-12.7 	-7.5 	9.9 	15.4 	7.6 	5.5 	9.9 	4.0 	2.1 	3.3 	8.3 	10.4 
A,DW_NEW,RCH_A_AVG,IT	: 	: 	: 	: 	: 	: 	3.2 	2.3 	-1.4 	-2.6 	-2.0 	0.7 	-0.7 	1.1 	1.2 	2.1 	3.8 	6.1 	5.6 
A,DW_NEW,RCH_A_AVG,LT	: 	: 	13.1 	16.2 	-27.4 	-10.2 	10.2 	8.3 	-1.7 	5.1 	5.2 	2.2 	9.9 	7.8 	6.5 	6.3 	14.6 	20.7 	15.5 
A,DW_NEW,RCH_A_AVG,LU	: 	: 	: 	6.3 	2.5 	4.5 	1.5 	4.5 	7.7 	2.6 	8.2 	5.6 	5.5 	5.6 	8.5 	14.5 	11.9 	11.3 	-3.5 
A,DW_NEW,RCH_A_AVG,LV	: 	: 	29.7 	2.8 	-38.6 	-7.1 	33.6 	15.8 	4.0 	8.6 	-7.7 	7.5 	8.4 	6.1 	8.8 	7.7 	1.4 	12.9 	15.3 
A,DW_NEW,RCH_A_AVG,MT	: 	: 	: 	: 	-3.7 	2.2 	-2.0 	2.9 	-2.1 	2.0 	6.1 	5.0 	5.2 	6.2 	6.5 	2.4 	6.0 	6.9 	6.0 p
A,DW_NEW,RCH_A_AVG,NL	: 	3.2 	7.0 	-0.8 	-8.5 	0.8 	0.0 	-8.0 	-3.3 	0.0 	6.5 	4.0 	7.9 	10.0 	8.3 	8.8 	11.0 	12.9 	3.7 
A,DW_NEW,RCH_A_AVG,NO	: 	: 	: 	: 	: 	: 	8.6 	6.8 	4.8 	2.4 	5.8 	7.1 	5.3 	2.2 	6.3 	5.5 	7.1 	6.9 	4.6 
A,DW_NEW,RCH_A_AVG,PL	: 	: 	: 	: 	: 	: 	1.1 	-0.4 	-4.9 	0.5 	2.6 	1.1 	3.2 	5.5 	6.7 	6.2 	9.1 	11.8 	10.5 
A,DW_NEW,RCH_A_AVG,PT	: 	: 	: 	: 	-0.5 	0.7 	-2.9 	-6.3 	-1.3 	4.1 	1.7 	3.3 	5.6 	7.5 	8.8 	7.5 	8.7 	8.7 	6.6 
A,DW_NEW,RCH_A_AVG,RO	: 	: 	: 	: 	: 	-6.8 	-3.4 	1.7 	-4.8 	-1.0 	-1.6 	5.4 	0.3 	4.0 	1.8 	4.0 	1.6 	11.3 	8.7 
A,DW_NEW,RCH_A_AVG,SE	: 	3.6 	6.8 	4.1 	6.3 	3.9 	5.6 	2.3 	-1.1 	3.0 	2.3 	6.2 	6.2 	9.7 	4.7 	-1.5 	1.0 	14.6 	3.1 
A,DW_NEW,RCH_A_AVG,SI	: 	: 	: 	11.1 	-12.3 	-2.6 	5.2 	-9.5 	-4.9 	-5.8 	1.8 	0.3 	10.6 	8.3 	0.1 	3.9 	12.5 	7.5 	6.6 
A,DW_NEW,RCH_A_AVG,SK	: 	: 	: 	: 	: 	: 	-2.6 	-5.4 	-0.3 	1.4 	2.9 	5.9 	6.6 	6.0 	6.0 	7.8 	4.9 	16.2 	-2.4 
A,DW_NEW,RCH_A_AVG,TR	: 	: 	: 	: 	: 	: 	8.9 	11.1 	11.7 	10.5 	14.5 	11.8 	10.7 	9.0 	6.7 	26.2 	41.8 	151.0 	101.2 
A,DW_NEW,RCH_A_AVG,UK	: 	6.4 	7.8 	-3.2 	-9.9 	2.9 	1.5 	-0.4 	2.9 	8.1 	5.1 	9.4 	5.1 	4.2 	0.8 	: 	: 	: 	: 
A,TOTAL,I10_A_AVG,AT	: 	: 	: 	: 	: 	100.00 	105.36 	112.34 	117.94 	122.44 	129.33 	138.00 	145.02 	153.68 	162.91 	175.25 	195.30 	217.90 	211.68 
A,TOTAL,I10_A_AVG,BE	79.53 	87.33 	94.11 	98.20 	97.80 	100.00 	103.58 	106.02 	107.59 	107.23 	109.17 	111.72 	115.67 	119.16 	123.62 	128.92 	137.52 	145.12 	148.52 
A,TOTAL,I10_A_AVG,BG	75.69 e	86.82 e	111.92 e	139.86 e	111.32 e	100.00 	94.49 	92.69 	90.65 	91.95 	94.52 b	101.15 	109.91 	117.16 	124.21 	129.87 	141.14 	160.60 b	176.43 
A,TOTAL,I10_A_AVG,CY	85.97 	96.17 	107.46 	113.52 	106.08 	100.00 	98.40 	95.39 	91.49 	89.88 	88.58 b	88.81 	90.81 	92.40 	95.84 	95.65 	92.41 	94.89 	97.67 
A,TOTAL,I10_A_AVG,CZ	: 	: 	: 	105.90 	101.80 	100.00 	100.00 	98.60 	98.60 	101.00 	105.10 	112.50 	125.80 	136.50 	149.00 	161.60 	193.50 	226.10 	222.30 
A,TOTAL,I10_A_AVG,DE	99.40 	99.00 	96.90 	98.20 	99.00 	100.00 	103.60 	107.10 	110.40 	113.90 	119.30 	128.30 	136.10 	145.20 	153.50 	165.40 	184.60 	193.90 	177.40 
A,TOTAL,I10_A_AVG,DK	91.47 	113.49 	116.53 	110.51 	97.28 	100.00 	98.30 	95.65 	99.37 	103.12 	110.31 	115.36 	121.08 	126.51 	129.30 	134.91 	150.65 	157.90 	151.22 
A,TOTAL,I10_A_AVG,EA	90.55 	96.66 	100.65 	101.85 	99.06 	100.00 	101.11 	99.01 	97.06 	97.33 	98.95 	102.94 	107.47 	112.67 	117.59 	123.76 	133.53 	142.87 	141.11 
A,TOTAL,I10_A_AVG,EA19	89.87 	96.39 	100.91 	102.32 	99.11 	100.00 	101.16 	99.10 	97.19 	97.51 	99.13 	103.14 	107.67 	112.88 	117.81 	123.99 	133.78 	143.14 	141.30 
A,TOTAL,I10_A_AVG,EA20	89.82 	96.39 	100.96 	102.39 	99.16 	100.00 	101.15 	99.09 	97.17 	97.48 	99.07 	103.05 	107.57 	112.78 	117.74 	123.94 	133.73 	143.16 	141.47 
A,TOTAL,I10_A_AVG,EE	92.35 	138.06 	166.72 	150.69 	94.63 	100.00 	108.49 	116.39 	128.79 	146.45 	156.50 	163.92 	172.95 	183.20 	196.04 	207.81 	239.09 	292.27 	309.43 
A,TOTAL,I10_A_AVG,ES	: 	100.71 	110.58 	109.00 	101.80 	100.00 	92.36 	78.71 	71.52 	71.75 	74.32 	77.76 	82.57 	88.13 	92.69 	94.76 	98.25 	105.52 	109.76 
A,TOTAL,I10_A_AVG,EU	86.99 	94.66 	102.84 	103.40 	98.81 	100.00 	100.34 	98.56 	97.46 	99.15 	101.94 	106.73 	111.81 	117.18 	122.26 	128.90 	139.75 	150.60 	150.13 
A,TOTAL,I10_A_AVG,EU27_2020	85.65 	94.08 	102.07 	103.42 	99.54 	100.00 	100.63 	98.51 	96.82 	97.52 	99.77 	104.07 	109.06 	114.55 	120.12 	126.84 	137.51 	148.19 	147.73 
A,TOTAL,I10_A_AVG,EU28	86.40 	94.66 	102.88 	103.44 	98.85 	100.00 	100.34 	98.57 	97.45 	99.14 	101.93 	106.72 	111.80 	117.17 	122.25 	: 	: 	: 	: 
A,TOTAL,I10_A_AVG,FI	81.22 	86.87 	92.00 	92.73 	94.07 	100.00 	103.18 	105.67 	106.89 	106.51 	106.52 b	107.89 	109.06 	110.07 	110.53 	112.48 	117.65 	119.03 	112.28 
A,TOTAL,I10_A_AVG,FR	84.94 	94.76 	100.83 	101.78 	95.57 	100.00 	105.73 	105.15 	103.20 	101.62 	100.26 	101.31 	104.51 	107.57 	111.14 	116.92 	124.30 	132.16 	131.60 
A,TOTAL,I10_A_AVG,HR	: 	: 	: 	112.38 	106.76 	100.00 	100.18 	98.61 	94.71 	93.22 	90.53 	91.33 	94.82 	100.61 	109.63 	118.03 	126.66 	145.46 	162.83 
A,TOTAL,I10_A_AVG,HU	: 	: 	105.61 	108.12 	102.45 	100.00 	96.57 	93.00 	90.62 	94.41 	106.77 	121.06 	135.86 	155.35 	181.69 	190.67 	222.12 	271.75 	291.00 p
A,TOTAL,I10_A_AVG,IE	124.46 	142.98 	153.65 	142.98 	115.60 	100.00 	82.92 	71.76 	72.66 	84.67 	94.38 	101.42 	112.44 	123.94 	126.85 	127.24 	137.77 	154.74 	159.48 
A,TOTAL,I10_A_AVG,IS	84.14 	98.30 	107.53 	114.22 	103.13 	100.00 	104.64 	111.86 	118.31 	128.28 	138.85 	152.41 	182.17 	197.18 	205.90 	219.09 	246.54 	298.31 	321.53 
A,TOTAL,I10_A_AVG,IT	: 	: 	: 	: 	: 	100.00 	101.40 	98.80 	92.40 	88.00 	84.70 	84.90 	84.00 	83.50 	83.40 	85.00 	87.20 	90.50 	91.60 
A,TOTAL,I10_A_AVG,LT	: 	111.93 	141.39 	154.10 	107.98 	100.00 	106.60 	106.36 	107.65 	114.57 	118.76 	125.18 	136.33 	146.29 	156.30 	167.66 	194.58 	231.64 	254.37 
A,TOTAL,I10_A_AVG,LU	: 	: 	92.86 	95.96 	94.86 	100.00 	103.68 	108.03 	113.42 	118.39 	124.78 	132.28 	139.70 	149.56 	164.69 	188.56 	214.81 	235.33 	213.98 
A,TOTAL,I10_A_AVG,LV	: 	130.02 	177.19 	179.15 	112.31 	100.00 	110.42 	113.71 	121.50 	128.78 	124.46 	135.03 	146.87 	160.92 	175.33 	181.42 	201.18 	229.01 	237.57 
A,TOTAL,I10_A_AVG,MT	64.19 	76.94 	93.09 	103.41 	98.94 	100.00 	98.64 	101.65 	101.23 	103.82 	109.85 	115.84 	121.96 	129.01 	136.92 	141.55 	148.77 	158.67 	168.53 p
A,TOTAL,I10_A_AVG,NL	95.36 	99.41 	104.22 	106.52 	101.78 	100.00 	98.03 	91.46 	85.94 	86.66 	89.71 	94.45 	102.09 	111.60 	119.65 	129.24 	147.96 	167.61 	164.39 
