TIME	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
European Union - 27 countries (from 2020)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
European Union - 28 countries (2013-2020)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Euro area – 20 countries (from 2023)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia	-16.9443	-5.7711	7.1391	5.4140	18.2666	29.6624	21.4347	23.6347	16.3262	9.9164	-1.3624	-5.6218	-20.9219	-18.5133	-13.1943	-5.0506	2.7779	17.1151	18.7946	14.9751	18.8531	10.2614	1.7739	2.0998
Slovakia	:	:	:	:	:	:	:	67.57	31.89	9.4974	3.8331	-2.7780	-10.3872	-4.8424	0.4895	3.6743	7.0039	4.2113	2.3720	2.1442	7.4841	-2.7911	-7.2837	-2.5978
Finland	-6.4996	-3.0182	0.5593	-6.9691	-2.1657	-6.2875	-8.0144	-4.6853	-4.4609	-13.3733	-19.7232	-23.5216	-32.4332	-32.4793	-27.1574	-22.8262	-15.7317	-4.9468	-3.8366	3.3060	10.4914	3.1714	-2.7573	-3.9140
Sweden	-7.6366	-11.9333	-8.7721	-8.8495	-6.4752	-5.1798	-1.4143	1.3493	-6.8363	-15.8933	-12.7651	-12.2062	-19.5920	-16.9067	-10.0342	-9.8252	-7.9192	-5.2535	-6.2418	-2.2581	3.0673	0.2805	-3.2048	3.7392
Iceland	-6.6037	-0.2057	6.5681	-4.6315	-3.8565	7.9561	-10.0656	0.3390	-13.5522	2.4614	-3.7727	4.1012	-13.6638	6.4375	-4.3762	12.0841	28.0742	37.1376	31.0515	12.0412	-24.5499	-27.8810	-15.0425	-8.1753
Norway	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	-31.0308	-24.7589	-27.4456	-23.2381	15.9133	66.0622	10.3286
Switzerland	:	:	:	:	:	-4.1399	-10.3250	-6.5574	-0.9278	11.1145	18.9368	26.5335	16.2136	17.2629	-3.0266	0.3626	3.3630	-1.7136	-10.1026	-1.9825	2.4010	-5.4338	0.4453	9.8433
United Kingdom	:	:	-4.8924	-7.4461	-11.0814	-7.3090	-8.3124	-14.9017	-22.8469	-19.7799	-23.8610	-26.1425	-21.5099	-12.2977	-10.4224	1.0527	-0.3446	-2.9662	-1.5348	-2.6171	:	:	:	:
Bosnia and Herzegovina	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	0.0160	10.1273	30.7225	30.0252	24.5196	14.7997	22.1331	16.8172	14.7201
Montenegro	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	18.5110	26.3090	-31.6376	4.6060	17.5527	29.7606
North Macedonia	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	21.7216	41.1869	50.9620	37.7897	37.4516	25.3416	18.9244	14.0345
Albania	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	4.8268	20.9769	25.1757	54.2551
Serbia	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	32.8937	45.6058	25.6443	30.2814	37.4884	30.1280	33.7670	43.9239
Türkiye	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	11.7387	16.1198	6.2426	5.1205	8.2317	-1.9441	7.2215	14.1298	20.5766
Kosovo*	:	:	:	:	:	:	:	:	:	:	:	:	:	:	11.2943	5.8417	6.1541	27.6920	36.9866	36.3547	14.4695	48.5524	34.4663	47.5592
