TIME	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Germany	6.22	5.64	4.57	4.49	5.26	4.8	4.78	4.07	4.04	3.35	3.76	4.22	3.98	3.22	2.74	2.61	1.5	1.57	1.16	0.5	0.09	0.32	0.4	-0.25	-0.51	-0.37	1.14	2.43
France	6.31	5.58	4.64	4.61	5.39	4.94	4.86	4.13	4.1	3.41	3.8	4.3	4.23	3.65	3.12	3.32	2.54	2.2	1.67	0.84	0.47	0.81	0.78	0.13	-0.15	0.01	1.7	2.99
