TIME	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Germany	-0.3	1.4	1.5	1.3	1.2	0.5	0.4	1.8	0.9	2	0.7	1.2	1.4	2	1.9	1.7	1.3	1.5	1.9	2	1.8	2.8	6.1	6.1
France	1.4	1.9	2.1	1.8	1.6	2	2	2.4	2.3	0.1	1.1	0.9	1.1	0.7	0.6	1.1	0.5	0.6	1.1	1.2	3	1.2	3.2	5.3
