TIME	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Germany	111.94	107.57	104.89	102.51	99.31	98.28	95.42	91.06	89.80	89.79	88.45	88.74	89.97	91.13	91.56	93.61	97.97	100.85	103.78	106.70	113.27	121.28	118.78	103.34
France	69.09	71.35	74.62	81.58	90.79	101.73	109.00	111.01	108.99	102.02	104.26	108.63	107.18	105.65	102.99	100.84	100.50	101.53	102.28	102.99	106.99	108.80	110.88	116.31
