	2023	1992	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993
Germany	6,1	6,9	6,1	2,8	1,8	2,0	1,9	1,5	1,3	1,7	1,9	2,0	1,4	1,2	0,7	2,0	0,9	1,8	0,4	0,5	1,2	1,3	1,5	1,4	-0,3	1,3	0,4	-2,7	-1,4	4,6	2,6	8,3
France	5,3	3,9	3,2	1,2	3,0	1,2	1,1	0,6	0,5	1,1	0,6	0,7	1,1	0,9	1,1	0,1	2,3	2,4	2,0	2,0	1,6	1,8	2,1	1,9	1,4	0,9	1,1	-0,9	1,8	2,0	1,7	4,8
